requirement_id,stakeholder_group,business_question,required_metric,decision_supported,refresh_cadence,acceptance_test,status
REQ0020,Analytics,How should inventory risk change the next operating decision?,inventory_risk,protect margin,daily,SQL check passes,validated
REQ0021,Data engineering,How should roas change the next operating decision?,roas,sequence launch,daily,SQL check passes,new
REQ0022,Merchandising,How should inventory risk change the next operating decision?,inventory_risk,protect margin,daily,action owner assigned,new
REQ0023,Merchandising,How should roas change the next operating decision?,roas,sequence launch,near real time,sample reconciles,triaged
REQ0024,Growth,How should event completeness change the next operating decision?,event_completeness,protect margin,weekly,metric owner approved,new
REQ0025,Merchandising,How should gross margin change the next operating decision?,gross_margin,improve quality,weekly,sample reconciles,in build
REQ0026,Analytics,How should conversion rate change the next operating decision?,conversion_rate,sequence launch,monthly,sample reconciles,new
REQ0027,Data engineering,How should conversion rate change the next operating decision?,conversion_rate,improve quality,weekly,action owner assigned,new
REQ0028,Marketing,How should inventory risk change the next operating decision?,inventory_risk,sequence launch,near real time,action owner assigned,in build
REQ0029,Analytics,How should conversion rate change the next operating decision?,conversion_rate,sequence launch,near real time,action owner assigned,new
REQ0030,Operations,How should gross margin change the next operating decision?,gross_margin,protect margin,weekly,sample reconciles,blocked
REQ0031,Merchandising,How should event completeness change the next operating decision?,event_completeness,focus outreach,monthly,sample reconciles,in build
REQ0032,Analytics,How should inventory risk change the next operating decision?,inventory_risk,protect margin,weekly,SQL check passes,triaged
REQ0033,Marketing,How should inventory risk change the next operating decision?,inventory_risk,improve quality,monthly,dashboard explains variance,validated
REQ0034,Merchandising,How should event completeness change the next operating decision?,event_completeness,prioritize roadmap,weekly,metric owner approved,validated
REQ0035,Marketing,How should roas change the next operating decision?,roas,protect margin,daily,action owner assigned,validated
REQ0036,Operations,How should gross margin change the next operating decision?,gross_margin,sequence launch,monthly,sample reconciles,new
REQ0037,Operations,How should gross margin change the next operating decision?,gross_margin,prioritize roadmap,daily,dashboard explains variance,triaged
REQ0038,Operations,How should event completeness change the next operating decision?,event_completeness,focus outreach,monthly,dashboard explains variance,blocked
REQ0039,Operations,How should conversion rate change the next operating decision?,conversion_rate,reduce manual work,monthly,SQL check passes,in build
REQ0040,Merchandising,How should event completeness change the next operating decision?,event_completeness,reduce manual work,daily,SQL check passes,in build
REQ0041,Analytics,How should roas change the next operating decision?,roas,sequence launch,daily,dashboard explains variance,new
REQ0042,Analytics,How should inventory risk change the next operating decision?,inventory_risk,sequence launch,near real time,SQL check passes,triaged
REQ0043,Merchandising,How should event completeness change the next operating decision?,event_completeness,protect margin,monthly,metric owner approved,new
REQ0044,Merchandising,How should conversion rate change the next operating decision?,conversion_rate,protect margin,weekly,sample reconciles,in build
REQ0045,Analytics,How should gross margin change the next operating decision?,gross_margin,sequence launch,near real time,SQL check passes,new
REQ0046,Growth,How should conversion rate change the next operating decision?,conversion_rate,prioritize roadmap,monthly,action owner assigned,new
REQ0047,Merchandising,How should roas change the next operating decision?,roas,improve quality,daily,metric owner approved,new
REQ0048,Marketing,How should event completeness change the next operating decision?,event_completeness,reduce manual work,daily,metric owner approved,triaged
REQ0049,Marketing,How should inventory risk change the next operating decision?,inventory_risk,reduce manual work,near real time,action owner assigned,validated
REQ0050,Merchandising,How should gross margin change the next operating decision?,gross_margin,prioritize roadmap,monthly,sample reconciles,validated
REQ0051,Data engineering,How should roas change the next operating decision?,roas,focus outreach,weekly,metric owner approved,blocked
REQ0052,Marketing,How should repeat purchase change the next operating decision?,repeat_purchase,prioritize roadmap,near real time,action owner assigned,validated
REQ0053,Data engineering,How should repeat purchase change the next operating decision?,repeat_purchase,reduce manual work,near real time,sample reconciles,validated
REQ0054,Analytics,How should gross margin change the next operating decision?,gross_margin,improve quality,near real time,SQL check passes,validated
REQ0055,Growth,How should repeat purchase change the next operating decision?,repeat_purchase,improve quality,monthly,sample reconciles,blocked
REQ0056,Analytics,How should gross margin change the next operating decision?,gross_margin,prioritize roadmap,weekly,action owner assigned,new
REQ0057,Growth,How should inventory risk change the next operating decision?,inventory_risk,focus outreach,weekly,sample reconciles,triaged
REQ0058,Operations,How should gross margin change the next operating decision?,gross_margin,focus outreach,weekly,action owner assigned,validated
REQ0059,Analytics,How should repeat purchase change the next operating decision?,repeat_purchase,reduce manual work,weekly,sample reconciles,blocked
REQ0060,Merchandising,How should event completeness change the next operating decision?,event_completeness,protect margin,weekly,metric owner approved,new
REQ0061,Analytics,How should conversion rate change the next operating decision?,conversion_rate,prioritize roadmap,near real time,SQL check passes,validated
REQ0062,Analytics,How should repeat purchase change the next operating decision?,repeat_purchase,reduce manual work,near real time,sample reconciles,in build
REQ0063,Growth,How should roas change the next operating decision?,roas,reduce manual work,near real time,action owner assigned,new
REQ0064,Operations,How should conversion rate change the next operating decision?,conversion_rate,protect margin,daily,dashboard explains variance,triaged
REQ0065,Merchandising,How should repeat purchase change the next operating decision?,repeat_purchase,prioritize roadmap,daily,metric owner approved,validated
REQ0066,Growth,How should repeat purchase change the next operating decision?,repeat_purchase,prioritize roadmap,near real time,SQL check passes,blocked
REQ0067,Data engineering,How should repeat purchase change the next operating decision?,repeat_purchase,protect margin,monthly,sample reconciles,in build
REQ0068,Growth,How should conversion rate change the next operating decision?,conversion_rate,improve quality,daily,action owner assigned,triaged
REQ0069,Marketing,How should repeat purchase change the next operating decision?,repeat_purchase,improve quality,near real time,metric owner approved,new
REQ0070,Data engineering,How should conversion rate change the next operating decision?,conversion_rate,improve quality,daily,metric owner approved,new
REQ0071,Growth,How should roas change the next operating decision?,roas,improve quality,daily,action owner assigned,triaged
REQ0072,Merchandising,How should event completeness change the next operating decision?,event_completeness,reduce manual work,near real time,SQL check passes,in build
REQ0073,Data engineering,How should roas change the next operating decision?,roas,focus outreach,monthly,metric owner approved,blocked
REQ0074,Marketing,How should gross margin change the next operating decision?,gross_margin,improve quality,daily,action owner assigned,blocked
REQ0075,Operations,How should inventory risk change the next operating decision?,inventory_risk,protect margin,monthly,metric owner approved,in build
REQ0076,Growth,How should gross margin change the next operating decision?,gross_margin,improve quality,weekly,SQL check passes,blocked
REQ0077,Marketing,How should conversion rate change the next operating decision?,conversion_rate,sequence launch,monthly,sample reconciles,validated
REQ0078,Merchandising,How should gross margin change the next operating decision?,gross_margin,improve quality,monthly,sample reconciles,new
REQ0079,Data engineering,How should roas change the next operating decision?,roas,improve quality,daily,dashboard explains variance,validated
REQ0080,Analytics,How should gross margin change the next operating decision?,gross_margin,improve quality,monthly,sample reconciles,in build
