market_id,market,program_id,trigger,cohort,messages_sent,open_rate_pct,click_rate_pct,conversion_rate_pct,holdout_conversion_rate_pct,lift_pct,incremental_rides,estimated_value,deployment_status
MKT-MIA,South Florida Launch,DRIP-FAVORITE,Favorite driver prompt,Activated,6282,49.5,19.9,34.1,27.9,22.4,78,799,Needs QA
MKT-MIA,South Florida Launch,DRIP-QUIET,Dormant rider winback,Dormant,4848,30.6,14.0,22.5,15.4,45.8,47,605,Needs QA
MKT-MIA,South Florida Launch,DRIP-REFERRAL,Referral nudge,Advocate,1517,40.4,14.0,30.8,27.2,12.9,7,75,Scale
MKT-HOU,Gulf Launch,DRIP-FIRST,First ride completion,New rider,1735,44.7,20.0,31.7,25.8,22.9,20,270,Tune copy
MKT-HOU,Gulf Launch,DRIP-CANCEL,Canceled request recovery,At risk,2578,40.3,14.0,32.6,27.6,18.3,18,206,Tune copy
MKT-HOU,Gulf Launch,DRIP-FAVORITE,Favorite driver prompt,Activated,3795,40.0,17.7,31.5,21.7,45.3,65,884,Pilot
MKT-HOU,Gulf Launch,DRIP-QUIET,Dormant rider winback,Dormant,3732,37.6,9.1,22.1,18.2,21.0,12,131,Scale
MKT-HOU,Gulf Launch,DRIP-REFERRAL,Referral nudge,Advocate,1790,41.8,12.7,28.5,21.7,31.2,15,144,Pilot
MKT-DFW,North Texas Launch,DRIP-FIRST,First ride completion,New rider,5865,48.2,20.7,32.7,25.1,30.7,93,1250,Tune copy
MKT-DFW,North Texas Launch,DRIP-CANCEL,Canceled request recovery,At risk,5305,45.9,15.6,33.5,27.4,22.2,50,611,Scale
MKT-DFW,North Texas Launch,DRIP-FAVORITE,Favorite driver prompt,Activated,5952,47.5,20.2,31.0,20.7,50.2,125,1370,Needs QA
MKT-DFW,North Texas Launch,DRIP-QUIET,Dormant rider winback,Dormant,1490,37.2,10.9,23.8,14.0,70.3,16,165,Scale
MKT-DFW,North Texas Launch,DRIP-REFERRAL,Referral nudge,Advocate,5354,37.8,14.4,24.7,19.0,30.0,43,406,Pilot
MKT-ATL,Southeast Launch,DRIP-FIRST,First ride completion,New rider,2476,49.6,18.4,32.8,22.1,48.7,48,652,Scale
MKT-ATL,Southeast Launch,DRIP-CANCEL,Canceled request recovery,At risk,5655,37.5,16.1,33.1,23.3,42.4,89,1104,Pilot
MKT-ATL,Southeast Launch,DRIP-FAVORITE,Favorite driver prompt,Activated,2563,47.6,20.3,32.4,23.9,35.8,44,528,Needs QA
MKT-ATL,Southeast Launch,DRIP-QUIET,Dormant rider winback,Dormant,4702,29.9,11.3,26.4,22.1,19.9,23,226,Scale
MKT-ATL,Southeast Launch,DRIP-REFERRAL,Referral nudge,Advocate,3828,40.3,15.0,24.1,15.6,54.3,48,491,Tune copy
MKT-GSO,Triad Local,DRIP-FIRST,First ride completion,New rider,2904,47.5,18.5,38.8,28.0,38.7,58,812,Scale
MKT-GSO,Triad Local,DRIP-CANCEL,Canceled request recovery,At risk,3917,42.5,17.2,29.2,20.0,45.8,61,866,Needs QA
MKT-GSO,Triad Local,DRIP-FAVORITE,Favorite driver prompt,Activated,3457,45.3,18.4,30.7,25.1,22.0,35,337,Scale
MKT-GSO,Triad Local,DRIP-QUIET,Dormant rider winback,Dormant,2014,30.2,11.6,23.3,16.8,38.5,15,150,Tune copy
MKT-GSO,Triad Local,DRIP-REFERRAL,Referral nudge,Advocate,2935,43.4,14.0,31.0,22.5,37.9,35,437,Pilot
