date,market_id,market,stage,channel_id,channel,channel_group,spend,impressions,new_rider_signups,ride_requests,completed_rides,incremental_rides,incremental_rides_per_100_driver_hours,roi,supply_coverage_pct,rider_repeat_rate_pct
2026-02-01,MKT-MIA,South Florida Launch,Launch,rider_referral,Rider referral,Referral,307,12300,150,55,35,19,0.76,0.355,62.0,73.0
2026-02-01,MKT-MIA,South Florida Launch,Launch,vehicle_exterior,Vehicle exterior ads,Field marketing,1710,126294,1168,567,353,254,10.1,2.014,62.0,73.0
2026-02-01,MKT-MIA,South Florida Launch,Launch,in_vehicle,In-vehicle cards,Field marketing,1102,59150,913,375,232,121,4.81,1.2,62.0,73.0
2026-02-01,MKT-MIA,South Florida Launch,Launch,welcome_drip,Welcome drip,Lifecycle,81,4394,59,16,8,4,0.16,-0.048,62.0,73.0
2026-02-01,MKT-MIA,South Florida Launch,Launch,winback_drip,Winback drip,Lifecycle,63,5094,95,44,27,13,0.52,3.089,62.0,73.0
2026-02-01,MKT-HOU,Gulf Launch,Launch,paid_search,Paid search,Paid media,2733,133241,445,140,72,49,2.19,-0.714,55.0,61.0
2026-02-01,MKT-HOU,Gulf Launch,Launch,paid_social,Paid social,Paid media,1905,97488,1188,310,174,115,5.15,-0.022,55.0,61.0
2026-02-01,MKT-HOU,Gulf Launch,Launch,organic_social,Organic social,Organic,112,5763,62,22,12,7,0.31,0.37,55.0,61.0
2026-02-01,MKT-HOU,Gulf Launch,Launch,driver_referral,Driver referral,Referral,405,35011,578,212,101,50,2.24,1.425,55.0,61.0
2026-02-01,MKT-HOU,Gulf Launch,Launch,rider_referral,Rider referral,Referral,176,13469,100,33,19,8,0.36,-0.251,55.0,61.0
2026-02-01,MKT-HOU,Gulf Launch,Launch,vehicle_exterior,Vehicle exterior ads,Field marketing,1207,80918,728,199,115,62,2.78,0.053,55.0,61.0
2026-02-01,MKT-HOU,Gulf Launch,Launch,in_vehicle,In-vehicle cards,Field marketing,632,41048,373,172,99,58,2.6,0.861,55.0,61.0
2026-02-01,MKT-HOU,Gulf Launch,Launch,welcome_drip,Welcome drip,Lifecycle,67,4303,48,19,10,6,0.27,0.877,55.0,61.0
2026-02-01,MKT-HOU,Gulf Launch,Launch,winback_drip,Winback drip,Lifecycle,56,3917,58,16,8,5,0.22,0.489,55.0,61.0
2026-02-01,MKT-DFW,North Texas Launch,Launch,paid_search,Paid search,Paid media,2623,224267,1350,619,297,204,9.65,0.443,52.0,64.0
2026-02-01,MKT-DFW,North Texas Launch,Launch,paid_social,Paid social,Paid media,1025,82191,968,402,227,109,5.15,0.662,52.0,64.0
2026-02-01,MKT-DFW,North Texas Launch,Launch,organic_social,Organic social,Organic,131,6790,41,15,8,5,0.24,-0.215,52.0,64.0
2026-02-01,MKT-DFW,North Texas Launch,Launch,driver_referral,Driver referral,Referral,359,21331,332,88,46,28,1.32,0.261,52.0,64.0
2026-02-01,MKT-DFW,North Texas Launch,Launch,rider_referral,Rider referral,Referral,421,31037,151,59,24,13,0.61,-0.423,52.0,64.0
2026-02-01,MKT-DFW,North Texas Launch,Launch,vehicle_exterior,Vehicle exterior ads,Field marketing,822,76569,1122,348,188,111,5.25,1.517,52.0,64.0
2026-02-01,MKT-DFW,North Texas Launch,Launch,in_vehicle,In-vehicle cards,Field marketing,532,52897,253,112,50,28,1.32,0.025,52.0,64.0
2026-02-01,MKT-DFW,North Texas Launch,Launch,welcome_drip,Welcome drip,Lifecycle,45,2572,22,6,3,2,0.09,-0.151,52.0,64.0
2026-02-01,MKT-DFW,North Texas Launch,Launch,winback_drip,Winback drip,Lifecycle,71,5604,83,32,15,10,0.47,1.268,52.0,64.0
2026-02-01,MKT-ATL,Southeast Launch,Launch,paid_search,Paid search,Paid media,2118,141206,1132,451,198,127,6.36,0.035,49.0,58.0
2026-02-01,MKT-ATL,Southeast Launch,Launch,paid_social,Paid social,Paid media,2817,188560,2614,733,309,177,8.86,0.27,49.0,58.0
2026-02-01,MKT-ATL,Southeast Launch,Launch,organic_social,Organic social,Organic,65,3509,21,6,2,0,0.0,-1.0,49.0,58.0
2026-02-01,MKT-ATL,Southeast Launch,Launch,driver_referral,Driver referral,Referral,122,8417,103,34,14,6,0.3,0.063,49.0,58.0
2026-02-01,MKT-ATL,Southeast Launch,Launch,rider_referral,Rider referral,Referral,159,7344,119,52,20,9,0.45,0.083,49.0,58.0
2026-02-01,MKT-ATL,Southeast Launch,Launch,vehicle_exterior,Vehicle exterior ads,Field marketing,1279,133618,947,346,157,94,4.71,0.168,49.0,58.0
2026-02-01,MKT-ATL,Southeast Launch,Launch,in_vehicle,In-vehicle cards,Field marketing,924,46995,338,121,49,26,1.3,-0.438,49.0,58.0
2026-02-01,MKT-ATL,Southeast Launch,Launch,welcome_drip,Welcome drip,Lifecycle,69,2887,25,7,3,1,0.05,-0.7,49.0,58.0
2026-02-01,MKT-ATL,Southeast Launch,Launch,winback_drip,Winback drip,Lifecycle,45,3718,20,5,2,1,0.05,-0.573,49.0,58.0
2026-02-01,MKT-GSO,Triad Local,Emerging,paid_search,Paid search,Paid media,834,54231,335,71,37,20,1.11,-0.578,66.0,77.0
2026-02-01,MKT-GSO,Triad Local,Emerging,paid_social,Paid social,Paid media,552,43722,184,53,32,16,0.88,-0.363,66.0,77.0
2026-02-01,MKT-GSO,Triad Local,Emerging,organic_social,Organic social,Organic,54,3023,19,6,3,1,0.06,-0.678,66.0,77.0
2026-02-01,MKT-GSO,Triad Local,Emerging,driver_referral,Driver referral,Referral,100,5498,38,13,7,4,0.22,-0.123,66.0,77.0
2026-02-01,MKT-GSO,Triad Local,Emerging,rider_referral,Rider referral,Referral,281,16167,175,53,35,16,0.88,0.086,66.0,77.0
2026-02-01,MKT-GSO,Triad Local,Emerging,vehicle_exterior,Vehicle exterior ads,Field marketing,918,78080,349,78,49,29,1.6,-0.491,66.0,77.0
2026-02-01,MKT-GSO,Triad Local,Emerging,in_vehicle,In-vehicle cards,Field marketing,632,35124,418,104,69,38,2.1,0.121,66.0,77.0
2026-02-01,MKT-GSO,Triad Local,Emerging,welcome_drip,Welcome drip,Lifecycle,43,3366,17,3,2,1,0.06,-0.588,66.0,77.0
2026-02-01,MKT-GSO,Triad Local,Emerging,winback_drip,Winback drip,Lifecycle,27,2247,21,6,4,2,0.11,0.381,66.0,77.0
2026-02-02,MKT-DC,Capital Core,Core,paid_search,Paid search,Paid media,1215,103224,1147,524,373,260,3.78,2.888,91.0,78.0
2026-02-02,MKT-DC,Capital Core,Core,paid_social,Paid social,Paid media,2305,189748,2461,1332,837,489,7.1,3.102,91.0,78.0
2026-02-02,MKT-DC,Capital Core,Core,organic_social,Organic social,Organic,77,2989,9,5,4,1,0.01,-0.733,91.0,78.0
2026-02-02,MKT-DC,Capital Core,Core,driver_referral,Driver referral,Referral,257,21594,313,157,109,71,1.03,4.646,91.0,78.0
2026-02-02,MKT-DC,Capital Core,Core,rider_referral,Rider referral,Referral,252,23148,273,142,91,57,0.83,3.789,91.0,78.0
2026-02-02,MKT-DC,Capital Core,Core,vehicle_exterior,Vehicle exterior ads,Field marketing,1450,71392,433,225,152,84,1.22,0.155,91.0,78.0
2026-02-02,MKT-DC,Capital Core,Core,in_vehicle,In-vehicle cards,Field marketing,666,36546,290,133,90,38,0.55,0.183,91.0,78.0
2026-02-02,MKT-DC,Capital Core,Core,welcome_drip,Welcome drip,Lifecycle,45,4109,31,21,16,9,0.13,2.493,91.0,78.0
2026-02-02,MKT-DC,Capital Core,Core,winback_drip,Winback drip,Lifecycle,56,3213,22,13,8,5,0.07,0.614,91.0,78.0
2026-02-02,MKT-BAL,Harbor Commuter,Core,paid_search,Paid search,Paid media,1147,91633,379,211,141,68,1.05,0.015,86.0,82.0
2026-02-02,MKT-BAL,Harbor Commuter,Core,paid_social,Paid social,Paid media,1963,143107,799,363,275,181,2.79,0.483,86.0,82.0
2026-02-02,MKT-BAL,Harbor Commuter,Core,organic_social,Organic social,Organic,86,7338,33,15,10,4,0.06,-0.003,86.0,82.0
2026-02-02,MKT-BAL,Harbor Commuter,Core,driver_referral,Driver referral,Referral,148,9366,38,20,13,8,0.12,0.075,86.0,82.0
2026-02-02,MKT-BAL,Harbor Commuter,Core,rider_referral,Rider referral,Referral,311,12051,104,47,36,23,0.35,0.427,86.0,82.0
2026-02-02,MKT-BAL,Harbor Commuter,Core,vehicle_exterior,Vehicle exterior ads,Field marketing,446,38243,414,174,133,84,1.3,2.697,86.0,82.0
2026-02-02,MKT-BAL,Harbor Commuter,Core,in_vehicle,In-vehicle cards,Field marketing,268,28653,166,77,49,34,0.52,1.078,86.0,82.0
2026-02-02,MKT-BAL,Harbor Commuter,Core,welcome_drip,Welcome drip,Lifecycle,30,2574,30,17,13,9,0.14,4.195,86.0,82.0
2026-02-02,MKT-BAL,Harbor Commuter,Core,winback_drip,Winback drip,Lifecycle,41,1777,19,9,7,3,0.05,0.324,86.0,82.0
2026-02-02,MKT-NYC,Metro Outer Boroughs,Scale,paid_search,Paid search,Paid media,749,54416,442,164,124,62,3.1,0.351,73.0,69.0
2026-02-02,MKT-NYC,Metro Outer Boroughs,Scale,paid_social,Paid social,Paid media,824,67489,372,227,171,105,5.26,1.205,73.0,69.0
2026-02-02,MKT-NYC,Metro Outer Boroughs,Scale,organic_social,Organic social,Organic,36,1581,14,5,3,2,0.1,0.074,73.0,69.0
2026-02-02,MKT-NYC,Metro Outer Boroughs,Scale,driver_referral,Driver referral,Referral,109,8530,86,52,36,16,0.8,1.756,73.0,69.0
2026-02-02,MKT-NYC,Metro Outer Boroughs,Scale,rider_referral,Rider referral,Referral,83,3426,31,15,11,6,0.3,0.548,73.0,69.0
2026-02-02,MKT-NYC,Metro Outer Boroughs,Scale,vehicle_exterior,Vehicle exterior ads,Field marketing,574,49396,429,254,169,104,5.21,2.156,73.0,69.0
2026-02-02,MKT-NYC,Metro Outer Boroughs,Scale,in_vehicle,In-vehicle cards,Field marketing,423,43631,342,215,144,94,4.71,2.896,73.0,69.0
2026-02-02,MKT-NYC,Metro Outer Boroughs,Scale,welcome_drip,Welcome drip,Lifecycle,19,1575,8,3,2,1,0.05,0.006,73.0,69.0
2026-02-02,MKT-NYC,Metro Outer Boroughs,Scale,winback_drip,Winback drip,Lifecycle,30,2555,41,20,15,6,0.3,2.474,73.0,69.0
2026-02-02,MKT-MIA,South Florida Launch,Launch,paid_search,Paid search,Paid media,2368,151642,1829,680,407,187,7.44,0.367,62.0,73.0
2026-02-02,MKT-MIA,South Florida Launch,Launch,paid_social,Paid social,Paid media,2592,214593,1456,480,300,156,6.2,0.066,62.0,73.0
2026-02-02,MKT-MIA,South Florida Launch,Launch,organic_social,Organic social,Organic,58,4524,52,16,9,4,0.16,0.272,62.0,73.0
2026-02-02,MKT-MIA,South Florida Launch,Launch,driver_referral,Driver referral,Referral,148,6867,109,32,16,9,0.36,0.11,62.0,73.0
2026-02-02,MKT-MIA,South Florida Launch,Launch,rider_referral,Rider referral,Referral,363,22221,173,78,45,28,1.11,0.218,62.0,73.0
2026-02-02,MKT-MIA,South Florida Launch,Launch,vehicle_exterior,Vehicle exterior ads,Field marketing,880,83885,1014,362,186,108,4.3,1.246,62.0,73.0
2026-02-02,MKT-MIA,South Florida Launch,Launch,in_vehicle,In-vehicle cards,Field marketing,1088,96711,798,306,194,109,4.33,0.852,62.0,73.0
2026-02-02,MKT-MIA,South Florida Launch,Launch,welcome_drip,Welcome drip,Lifecycle,65,3486,38,19,9,6,0.24,0.707,62.0,73.0
2026-02-02,MKT-MIA,South Florida Launch,Launch,winback_drip,Winback drip,Lifecycle,60,4187,50,19,10,5,0.2,0.472,62.0,73.0
2026-02-02,MKT-HOU,Gulf Launch,Launch,paid_search,Paid search,Paid media,1243,108041,755,321,184,126,5.64,0.727,55.0,61.0
2026-02-02,MKT-HOU,Gulf Launch,Launch,paid_social,Paid social,Paid media,2897,208321,2013,781,418,268,12.0,0.964,55.0,61.0
2026-02-02,MKT-HOU,Gulf Launch,Launch,organic_social,Organic social,Organic,97,4043,27,8,3,1,0.04,-0.806,55.0,61.0
2026-02-02,MKT-HOU,Gulf Launch,Launch,driver_referral,Driver referral,Referral,301,12685,234,106,57,33,1.48,1.029,55.0,61.0
2026-02-02,MKT-HOU,Gulf Launch,Launch,rider_referral,Rider referral,Referral,253,14006,153,45,20,9,0.4,-0.241,55.0,61.0
2026-02-02,MKT-HOU,Gulf Launch,Launch,vehicle_exterior,Vehicle exterior ads,Field marketing,941,86058,1324,502,271,146,6.54,2.331,55.0,61.0
2026-02-02,MKT-HOU,Gulf Launch,Launch,in_vehicle,In-vehicle cards,Field marketing,612,31655,413,134,74,46,2.06,0.608,55.0,61.0
2026-02-02,MKT-HOU,Gulf Launch,Launch,welcome_drip,Welcome drip,Lifecycle,63,2832,47,13,6,3,0.13,-0.16,55.0,61.0
2026-02-02,MKT-HOU,Gulf Launch,Launch,winback_drip,Winback drip,Lifecycle,59,3862,17,5,2,1,0.04,-0.653,55.0,61.0
2026-02-02,MKT-DFW,North Texas Launch,Launch,paid_search,Paid search,Paid media,2826,227658,1941,716,380,225,10.64,0.577,52.0,64.0
2026-02-02,MKT-DFW,North Texas Launch,Launch,paid_social,Paid social,Paid media,1323,109666,1459,624,274,154,7.28,1.115,52.0,64.0
2026-02-02,MKT-DFW,North Texas Launch,Launch,organic_social,Organic social,Organic,98,4962,23,10,5,3,0.14,-0.487,52.0,64.0
2026-02-02,MKT-DFW,North Texas Launch,Launch,driver_referral,Driver referral,Referral,298,23845,291,99,43,20,0.95,0.304,52.0,64.0
2026-02-02,MKT-DFW,North Texas Launch,Launch,rider_referral,Rider referral,Referral,194,14824,166,46,19,9,0.43,-0.145,52.0,64.0
2026-02-02,MKT-DFW,North Texas Launch,Launch,vehicle_exterior,Vehicle exterior ads,Field marketing,1280,131742,1876,641,305,165,7.8,1.322,52.0,64.0
2026-02-02,MKT-DFW,North Texas Launch,Launch,in_vehicle,In-vehicle cards,Field marketing,976,85612,1216,341,156,107,5.06,1.195,52.0,64.0
2026-02-02,MKT-DFW,North Texas Launch,Launch,welcome_drip,Welcome drip,Lifecycle,31,1209,9,2,1,0,0.0,-1.0,52.0,64.0
2026-02-02,MKT-DFW,North Texas Launch,Launch,winback_drip,Winback drip,Lifecycle,58,4205,58,15,8,4,0.19,0.309,52.0,64.0
2026-02-02,MKT-ATL,Southeast Launch,Launch,paid_search,Paid search,Paid media,775,55179,325,107,52,23,1.15,-0.352,49.0,58.0
2026-02-02,MKT-ATL,Southeast Launch,Launch,paid_social,Paid social,Paid media,896,52939,526,197,105,53,2.65,-0.077,49.0,58.0
2026-02-02,MKT-ATL,Southeast Launch,Launch,organic_social,Organic social,Organic,46,2623,15,5,2,1,0.05,-0.524,49.0,58.0
2026-02-02,MKT-ATL,Southeast Launch,Launch,driver_referral,Driver referral,Referral,413,16518,129,52,27,14,0.7,-0.406,49.0,58.0
2026-02-02,MKT-ATL,Southeast Launch,Launch,rider_referral,Rider referral,Referral,255,13629,231,58,28,14,0.7,0.136,49.0,58.0
2026-02-02,MKT-ATL,Southeast Launch,Launch,vehicle_exterior,Vehicle exterior ads,Field marketing,840,65313,625,272,127,86,4.31,1.071,49.0,58.0
2026-02-02,MKT-ATL,Southeast Launch,Launch,in_vehicle,In-vehicle cards,Field marketing,397,20163,264,80,38,21,1.05,0.057,49.0,58.0
2026-02-02,MKT-ATL,Southeast Launch,Launch,welcome_drip,Welcome drip,Lifecycle,29,1219,19,6,3,1,0.05,-0.252,49.0,58.0
2026-02-02,MKT-ATL,Southeast Launch,Launch,winback_drip,Winback drip,Lifecycle,27,1370,20,6,3,1,0.05,-0.389,49.0,58.0
2026-02-02,MKT-GSO,Triad Local,Emerging,paid_search,Paid search,Paid media,643,42817,232,72,41,18,0.99,-0.432,66.0,77.0
2026-02-02,MKT-GSO,Triad Local,Emerging,paid_social,Paid social,Paid media,1689,87921,595,220,128,91,5.03,0.007,66.0,77.0
2026-02-02,MKT-GSO,Triad Local,Emerging,organic_social,Organic social,Organic,56,5143,38,13,9,5,0.28,0.796,66.0,77.0
2026-02-02,MKT-GSO,Triad Local,Emerging,driver_referral,Driver referral,Referral,132,10673,97,21,11,5,0.28,-0.218,66.0,77.0
2026-02-02,MKT-GSO,Triad Local,Emerging,rider_referral,Rider referral,Referral,123,8738,33,8,5,3,0.17,-0.539,66.0,77.0
2026-02-02,MKT-GSO,Triad Local,Emerging,vehicle_exterior,Vehicle exterior ads,Field marketing,930,46877,302,86,47,32,1.77,-0.343,66.0,77.0
2026-02-02,MKT-GSO,Triad Local,Emerging,in_vehicle,In-vehicle cards,Field marketing,205,20392,159,39,21,15,0.83,0.241,66.0,77.0
2026-02-02,MKT-GSO,Triad Local,Emerging,welcome_drip,Welcome drip,Lifecycle,25,1807,18,3,1,0,0.0,-1.0,66.0,77.0
2026-02-02,MKT-GSO,Triad Local,Emerging,winback_drip,Winback drip,Lifecycle,29,2421,23,7,3,1,0.06,-0.322,66.0,77.0
2026-02-03,MKT-DC,Capital Core,Core,paid_search,Paid search,Paid media,1796,121160,982,469,318,218,3.17,1.202,91.0,78.0
2026-02-03,MKT-DC,Capital Core,Core,paid_social,Paid social,Paid media,1665,105027,666,283,233,123,1.79,0.619,91.0,78.0
2026-02-03,MKT-DC,Capital Core,Core,organic_social,Organic social,Organic,42,2319,13,6,4,1,0.01,-0.586,91.0,78.0
2026-02-03,MKT-DC,Capital Core,Core,driver_referral,Driver referral,Referral,256,22636,288,126,82,61,0.89,3.416,91.0,78.0
2026-02-03,MKT-DC,Capital Core,Core,rider_referral,Rider referral,Referral,345,31119,175,86,54,31,0.45,0.908,91.0,78.0
2026-02-03,MKT-DC,Capital Core,Core,vehicle_exterior,Vehicle exterior ads,Field marketing,553,40658,451,278,223,121,1.76,2.961,91.0,78.0
2026-02-03,MKT-DC,Capital Core,Core,in_vehicle,In-vehicle cards,Field marketing,520,40703,457,214,183,118,1.71,2.693,91.0,78.0
2026-02-03,MKT-DC,Capital Core,Core,welcome_drip,Welcome drip,Lifecycle,29,1413,14,7,4,1,0.01,-0.391,91.0,78.0
2026-02-03,MKT-DC,Capital Core,Core,winback_drip,Winback drip,Lifecycle,38,1777,28,17,11,5,0.07,1.748,91.0,78.0
2026-02-03,MKT-BAL,Harbor Commuter,Core,paid_search,Paid search,Paid media,635,36760,286,174,132,90,1.39,1.865,86.0,82.0
2026-02-03,MKT-BAL,Harbor Commuter,Core,paid_social,Paid social,Paid media,2286,206862,1692,666,421,245,3.78,1.026,86.0,82.0
2026-02-03,MKT-BAL,Harbor Commuter,Core,organic_social,Organic social,Organic,100,5107,30,15,9,5,0.08,-0.089,86.0,82.0
2026-02-03,MKT-BAL,Harbor Commuter,Core,driver_referral,Driver referral,Referral,121,9209,86,42,36,20,0.31,1.967,86.0,82.0
2026-02-03,MKT-BAL,Harbor Commuter,Core,rider_referral,Rider referral,Referral,288,21455,263,137,111,56,0.86,2.626,86.0,82.0
2026-02-03,MKT-BAL,Harbor Commuter,Core,vehicle_exterior,Vehicle exterior ads,Field marketing,801,76553,667,350,258,150,2.31,2.585,86.0,82.0
2026-02-03,MKT-BAL,Harbor Commuter,Core,in_vehicle,In-vehicle cards,Field marketing,735,59387,698,308,216,146,2.25,2.268,86.0,82.0
2026-02-03,MKT-BAL,Harbor Commuter,Core,welcome_drip,Welcome drip,Lifecycle,53,3891,49,19,15,7,0.11,1.53,86.0,82.0
2026-02-03,MKT-BAL,Harbor Commuter,Core,winback_drip,Winback drip,Lifecycle,53,2659,15,5,3,1,0.02,-0.624,86.0,82.0
2026-02-03,MKT-NYC,Metro Outer Boroughs,Scale,paid_search,Paid search,Paid media,1122,71563,315,211,137,87,4.36,0.659,73.0,69.0
2026-02-03,MKT-NYC,Metro Outer Boroughs,Scale,paid_social,Paid social,Paid media,761,46090,557,369,217,151,7.56,3.092,73.0,69.0
2026-02-03,MKT-NYC,Metro Outer Boroughs,Scale,organic_social,Organic social,Organic,45,3090,9,6,3,2,0.1,-0.154,73.0,69.0
2026-02-03,MKT-NYC,Metro Outer Boroughs,Scale,driver_referral,Driver referral,Referral,139,11352,92,55,39,25,1.25,1.804,73.0,69.0
2026-02-03,MKT-NYC,Metro Outer Boroughs,Scale,rider_referral,Rider referral,Referral,236,19507,187,73,53,25,1.25,0.739,73.0,69.0
2026-02-03,MKT-NYC,Metro Outer Boroughs,Scale,vehicle_exterior,Vehicle exterior ads,Field marketing,740,69888,868,401,297,127,6.36,2.389,73.0,69.0
2026-02-03,MKT-NYC,Metro Outer Boroughs,Scale,in_vehicle,In-vehicle cards,Field marketing,262,18830,166,108,79,41,2.05,1.545,73.0,69.0
2026-02-03,MKT-NYC,Metro Outer Boroughs,Scale,welcome_drip,Welcome drip,Lifecycle,41,1897,27,15,10,6,0.3,1.716,73.0,69.0
2026-02-03,MKT-NYC,Metro Outer Boroughs,Scale,winback_drip,Winback drip,Lifecycle,16,1062,11,5,3,1,0.05,0.305,73.0,69.0
2026-02-03,MKT-MIA,South Florida Launch,Launch,paid_search,Paid search,Paid media,1569,132019,1016,461,290,169,6.72,1.299,62.0,73.0
2026-02-03,MKT-MIA,South Florida Launch,Launch,paid_social,Paid social,Paid media,2057,140804,1471,665,366,158,6.28,0.318,62.0,73.0
2026-02-03,MKT-MIA,South Florida Launch,Launch,organic_social,Organic social,Organic,85,6444,48,14,9,6,0.24,0.311,62.0,73.0
2026-02-03,MKT-MIA,South Florida Launch,Launch,driver_referral,Driver referral,Referral,364,22648,419,158,80,59,2.35,2.434,62.0,73.0
2026-02-03,MKT-MIA,South Florida Launch,Launch,rider_referral,Rider referral,Referral,396,26356,370,125,61,26,1.03,0.145,62.0,73.0
2026-02-03,MKT-MIA,South Florida Launch,Launch,vehicle_exterior,Vehicle exterior ads,Field marketing,911,56152,405,143,96,63,2.51,0.123,62.0,73.0
2026-02-03,MKT-MIA,South Florida Launch,Launch,in_vehicle,In-vehicle cards,Field marketing,363,18926,76,32,20,8,0.32,-0.552,62.0,73.0
2026-02-03,MKT-MIA,South Florida Launch,Launch,welcome_drip,Welcome drip,Lifecycle,74,6781,56,28,16,9,0.36,1.496,62.0,73.0
2026-02-03,MKT-MIA,South Florida Launch,Launch,winback_drip,Winback drip,Lifecycle,58,3145,16,8,5,3,0.12,0.012,62.0,73.0
2026-02-03,MKT-HOU,Gulf Launch,Launch,paid_search,Paid search,Paid media,2048,113073,876,257,128,85,3.81,-0.229,55.0,61.0
2026-02-03,MKT-HOU,Gulf Launch,Launch,paid_social,Paid social,Paid media,996,68095,1108,428,196,99,4.43,0.672,55.0,61.0
2026-02-03,MKT-HOU,Gulf Launch,Launch,organic_social,Organic social,Organic,64,2610,16,6,2,0,0.0,-1.0,55.0,61.0
2026-02-03,MKT-HOU,Gulf Launch,Launch,driver_referral,Driver referral,Referral,331,17997,345,106,49,32,1.43,0.968,55.0,61.0
