market,stage,channel,channel_group,spend,incremental_rides,completed_rides,supply_coverage_pct,rider_repeat_rate_pct,roi,incremental_rides_per_100_driver_hours
North Texas Launch,Launch,Winback drip,Lifecycle,5820,366,730,52.0,64.0,0.16,0.14
Triad Local,Emerging,In-vehicle cards,Field marketing,46469,2835,4866,66.0,77.0,0.13,1.31
Harbor Commuter,Core,Organic social,Organic,8053,492,922,86.0,82.0,0.13,0.06
South Florida Launch,Launch,Organic social,Organic,10380,613,1126,62.0,73.0,0.09,0.2
Metro Outer Boroughs,Scale,Organic social,Organic,5958,347,709,73.0,69.0,0.08,0.14
Triad Local,Emerging,Vehicle exterior ads,Field marketing,82322,4608,7937,66.0,77.0,0.04,2.12
North Texas Launch,Launch,Paid search,Paid media,215754,11767,20548,52.0,64.0,0.01,4.64
Triad Local,Emerging,Rider referral,Referral,20930,1094,1996,66.0,77.0,-0.03,0.5
Southeast Launch,Launch,Winback drip,Lifecycle,5908,303,604,49.0,58.0,-0.05,0.13
Triad Local,Emerging,Driver referral,Referral,20843,1050,1871,66.0,77.0,-0.07,0.48
Southeast Launch,Launch,Paid search,Paid media,213486,10126,17336,49.0,58.0,-0.12,4.22
Triad Local,Emerging,Paid social,Paid media,128916,6134,10618,66.0,77.0,-0.12,2.82
Gulf Launch,Launch,Organic social,Organic,10226,484,910,55.0,61.0,-0.12,0.18
Triad Local,Emerging,Paid search,Paid media,129682,5323,9248,66.0,77.0,-0.24,2.45
Southeast Launch,Launch,Organic social,Organic,10644,407,811,49.0,58.0,-0.29,0.17
North Texas Launch,Launch,Organic social,Organic,10350,387,751,52.0,64.0,-0.31,0.15
Triad Local,Emerging,Welcome drip,Lifecycle,3622,125,302,66.0,77.0,-0.36,0.06
Triad Local,Emerging,Winback drip,Lifecycle,3289,87,235,66.0,77.0,-0.51,0.04
Triad Local,Emerging,Organic social,Organic,5913,101,264,66.0,77.0,-0.68,0.05
